t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
1000
0.01,0.6,6.16136,60,58.2734,0,3.04028,0.5,3.70503,49.902,46.3416,-9.8,-4.00425
0.02,1.2,-7.39473,60,62.0873,0,-2.00027,0.99902,12.4036,49.804,38.4454,-9.8,-8.67427
0.03,1.8,6.13165,60,66.9357,0,-5.16288,1.49706,3.038,49.706,47.915,-9.8,-8.29826
0.04,2.4,-3.16906,60,58.3932,0,0.237238,1.99412,8.21495,49.608,53.8322,-9.8,-17.4493
0.05,3,14.1207,60,61.9635,0,-0.0320871,2.4902,4.85422,49.51,45.7608,-9.8,-4.89662
0.06,3.6,4.37115,60,67.7825,0,-1.13989,2.9853,7.45852,49.412,42.77,-9.8,-14.3226
0.07,4.2,4.47097,60,55.6852,0,-5.31019,3.47942,6.29555,49.314,53.2484,-9.8,-11.3235
0.08,4.8,4.45225,60,56.4081,0,-8.52481,3.97256,5.42519,49.216,46.0109,-9.8,-3.11596
0.09,5.4,6.17794,60,70.4089,0,0.19294,4.46472,1.65227,49.118,48.5904,-9.8,-6.14677
0.1,6,7.59618,60,60.8186,0,-4.45562,4.9559,9.88304,49.02,55.6057,-9.8,-16.6666
0.11,6.6,9.12812,60,55.5049,0,-0.796758,5.4461,10.502,48.922,53.792,-9.8,-12.3099
0.12,7.2,5.98819,60,61.7588,0,-5.37002,5.93532,12.6342,48.824,51.4687,-9.8,-9.28644
0.13,7.8,9.78488,60,64.5258,0,-0.555428,6.42356,10.3197,48.726,46.752,-9.8,-3.68209
0.14,8.4,9.72249,60,62.9503,0,-0.461491,6.91082,-0.579129,48.628,58.3318,-9.8,-14.4804
0.15,9,12.9972,60,52.6824,0,5.05754,7.3971,3.99226,48.53,47.0797,-9.8,-17.2998
0.16,9.6,5.42959,60,57.0135,0,7.08746,7.8824,-2.60226,48.432,48.2908,-9.8,-1.72691
0.17,10.2,17.8904,60,55.1296,0,6.69407,8.36672,4.84679,48.334,44.516,-9.8,-14.7661
0.18,10.8,13.2697,60,52.5288,0,-3.51956,8.85006,11.2006,48.236,46.4831,-9.8,-8.42647
0.19,11.4,7.93089,60,62.5311,0,-3.31033,9.33242,9.49194,48.138,44.7767,-9.8,-12.4985
0.2,12,16.1696,60,63.2575,0,0.379038,9.8138,10.9454,48.04,51.4783,-9.8,-3.39633
0.21,12.6,12.7968,60,55.8937,0,-0.794812,10.2942,16.8802,47.942,50.1333,-9.8,-2.16123
0.22,13.2,14.996,60,53.886,0,-5.59766,10.7736,8.97386,47.844,37.5719,-9.8,-5.97378
0.23,13.8,24.9529,60,53.3411,0,1.48793,11.2521,8.07305,47.746,48.7099,-9.8,-1.75027
0.24,14.4,15.4192,60,64.9999,0,6.7691,11.7295,15.2508,47.648,47.9965,-9.8,-9.49091
0.25,15,25.4733,60,59.8279,0,-1.74451,12.206,13.9193,47.55,51.2834,-9.8,-16.0833
0.26,15.6,18.6803,60,53.5563,0,5.76905,12.6815,7.41532,47.452,43.842,-9.8,-15.4625
0.27,16.2,12.9779,60,61.0069,0,-5.96431,13.156,16.4179,47.354,47.4088,-9.8,-7.38184
0.28,16.8,8.04778,60,61.8346,0,1.69093,13.6296,10.6473,47.256,43.4828,-9.8,2.44436
0.29,17.4,20.7264,60,59.6325,0,-2.18506,14.1021,18.7444,47.158,38.7109,-9.8,-4.43499
0.3,18,21.1169,60,57.511,0,10.162,14.5737,13.5863,47.06,46.1673,-9.8,-19.4392
0.31,18.6,21.4854,60,55.6812,0,0.580556,15.0443,12.8563,46.962,43.26,-9.8,-1.36525
0.32,19.2,26.2698,60,65.5945,0,-2.60015,15.5139,10.1502,46.864,53.6729,-9.8,-1.86455
0.33,19.8,25.7676,60,55.561,0,3.24765,15.9826,11.9603,46.766,49.4212,-9.8,-8.63454
0.34,20.4,24.3753,60,53.6985,0,0.341539,16.4502,12.1089,46.668,44.8738,-9.8,-6.97284
0.35,21,22.3961,60,56.9527,0,-4.12865,16.9169,15.447,46.57,54.1444,-9.8,-0.593845
0.36,21.6,26.4752,60,53.8174,0,4.78329,17.3826,13.712,46.472,43.643,-9.8,-14.9521
0.37,22.2,27.1179,60,57.4686,0,-6.58733,17.8473,16.5057,46.374,51.5017,-9.8,-5.94609
0.38,22.8,19.1013,60,61.8138,0,-2.80693,18.3111,24.9382,46.276,48.2709,-9.8,-11.434
0.39,23.4,30.5096,60,61.1631,0,-1.40901,18.7738,21.5884,46.178,45.844,-9.8,3.91073
0.4,24,20.2099,60,57.4591,0,5.61703,19.2356,19.1185,46.08,45.4635,-9.8,-3.87963
0.41,24.6,24.4202,60,50.6618,0,-4.77873,19.6964,22.4505,45.982,48.1056,-9.8,-13.1685
0.42,25.2,37.7206,60,59.0798,0,3.80901,20.1562,22.6824,45.884,42.8395,-9.8,-12.4305
0.43,25.8,25.7795,60,54.7299,0,-4.70445,20.6151,18.8002,45.786,44.7896,-9.8,-7.34371
0.44,26.4,30.2249,60,61.1433,0,2.00693,21.0729,22.9684,45.688,45.4377,-9.8,-20.3242
0.45,27,21.5627,60,68.1725,0,3.28401,21.5298,14.2582,45.59,41.6507,-9.8,-8.32126
0.46,27.6,23.1154,60,53.0387,0,-1.3356,21.9857,18.7472,45.492,44.905,-9.8,-6.29026
0.47,28.2,31.0027,60,52.1344,0,3.63164,22.4406,28.4293,45.394,45.1689,-9.8,-15.9359
0.48,28.8,33.2095,60,61.4467,0,0.442889,22.8946,15.5903,45.296,53.2571,-9.8,-20.0072
